1,515,382
2,670,332
3,258,277
4,922,202
5,544,142
6,376,210
7,264,383
8,840,115
9,135,320
10,123,176
11,238,162
12,794,263
13,888,291
14,319,147
15,219,355
16,203,165
17,90,171
18,407,133
19,477,140
20,182,332
21,781,303
22,63,96
23,697,281
24,723,208
25,831,166
26,297,215
27,639,390
28,676,153
29,724,157
30,987,338
31,564,420
32,285,324
33,441,407
34,192,103
35,75,291
36,910,139
37,432,99
38,542,270
39,117,68
40,449,245
41,240,126
42,360,331
43,214,213
44,655,275
45,136,265
46,596,343
47,789,365
48,140,373
49,846,262
50,478,264
51,479,336
52,617,134
53,798,111
54,270,121
55,542,92
56,891,321
57,492,67
58,629,204
59,97,110
60,574,166
61,748,124
62,725,249
63,720,358
64,196,280
65,955,263
66,507,227
67,335,90
68,427,301
69,766,159
70,395,379
71,429,206
72,831,322
73,909,348
74,369,79
75,886,109
76,948,177
77,206,134
78,373,118
79,602,400
80,555,369
81,304,117
